,county,state,population,dc
395,Crawford,GA,8991,0.0
396,Crisp,GA,20011,3.0
397,Dade,GA,13147,1.0
398,Dawson,GA,9429,1.0
399,Decatur,GA,25511,5.0
400,Dekalb,GA,545837,0.0
401,Dodge,GA,17607,4.0
402,Dooly,GA,9901,0.0
403,Dougherty,GA,96311,7.0
404,Douglas,GA,71120,6.0
405,Early,GA,11854,1.0
406,Echols,GA,2334,0.0
407,Effingham,GA,25687,5.0
408,Elbert,GA,18949,4.0
409,Emanuel,GA,20546,4.0
410,Evans,GA,8724,2.0
411,Fannin,GA,15992,7.0
412,Fayette,GA,62415,3.0
413,Floyd,GA,81251,13.0
414,Forsyth,GA,44083,6.0
415,Franklin,GA,16650,4.0
416,Fulton,GA,648951,77.0
417,Gilmer,GA,13368,1.0
418,Glascock,GA,2357,0.0
419,Glynn,GA,62496,10.0
420,Gordon,GA,35072,7.0
421,Grady,GA,20279,1.0
422,Greene,GA,11793,2.0
423,Gwinnett,GA,352910,37.0
424,Habersham,GA,27621,7.0
425,Hall,GA,95428,11.0
426,Hancock,GA,8908,0.0
427,Haralson,GA,21966,6.0
428,Harris,GA,17788,5.0
429,Hart,GA,19712,8.0
430,Heard,GA,8628,1.0
431,Henry,GA,58741,8.0
432,Houston,GA,89208,10.0
433,Irwin,GA,8649,1.0
434,Jackson,GA,30005,4.0
435,Jasper,GA,8453,1.0
436,Jeff davis,GA,12032,0.0
437,Jefferson,GA,17408,1.0
438,Jenkins,GA,8247,1.0
439,Johnson,GA,8329,3.0
440,Jones,GA,20739,3.0
441,Lamar,GA,13038,0.0
442,Lanier,GA,5531,0.0
443,Laurens,GA,39988,5.0
444,Lee,GA,16250,0.0
445,Liberty,GA,52745,1.0
446,Lincoln,GA,7442,1.0
447,Long,GA,6202,0.0
448,Lowndes,GA,75981,11.0
449,Lumpkin,GA,14573,4.0
450,Macon,GA,13114,1.0
451,Madison,GA,21050,2.0
452,Marion,GA,5590,0.0
453,Mcduffie,GA,20119,0.0
454,Mcintosh,GA,8634,0.0
455,Meriwether,GA,22411,1.0
456,Miller,GA,6280,0.0
457,Mitchell,GA,20275,3.0
458,Monroe,GA,17113,2.0
459,Montgomery,GA,7163,2.0
460,Morgan,GA,12883,1.0
461,Murray,GA,26147,5.0
462,Muscogee,GA,179278,28.0
463,Newton,GA,41808,8.0
464,Oconee,GA,17618,1.0
465,Oglethorpe,GA,9763,1.0
466,Paulding,GA,41611,3.0
467,Peach,GA,21189,3.0
468,Pickens,GA,14432,5.0
469,Pierce,GA,13328,1.0
470,Pike,GA,10224,0.0
471,Polk,GA,33815,6.0
472,Pulaski,GA,8108,1.0
473,Putnam,GA,14137,4.0
474,Quitman,GA,2209,1.0
475,Rabun,GA,11648,3.0
476,Randolph,GA,8023,1.0
477,Richmond,GA,189719,24.0
478,Rockdale,GA,54091,10.0
479,Schley,GA,3588,0.0
480,Screven,GA,13842,1.0
481,Seminole,GA,9010,1.0
482,Spalding,GA,54457,8.0
483,Stephens,GA,23257,6.0
484,Stewart,GA,5654,1.0
485,Sumter,GA,30228,0.0
486,Talbot,GA,6524,2.0
487,Taliaferro,GA,1915,0.0
488,Tattnall,GA,17722,0.0
489,Taylor,GA,7642,1.0
490,Telfair,GA,11000,1.0
491,Terrell,GA,10653,1.0
492,Thomas,GA,38986,5.0
493,Tift,GA,34998,5.0
494,Toombs,GA,24072,1.0
495,Towns,GA,6754,1.0
496,Treutlen,GA,5994,4.0
497,Troup,GA,55536,9.0
498,Turner,GA,8703,1.0
499,Twiggs,GA,9806,0.0
500,Union,GA,11993,3.0
501,Upson,GA,26300,5.0
502,Walker,GA,58340,10.0
503,Walton,GA,38586,4.0
504,Ware,GA,35471,1.0
505,Warren,GA,6078,1.0
506,Washington,GA,19112,3.0
507,Wayne,GA,22356,8.0
508,Webster,GA,2263,0.0
509,Wheeler,GA,4903,1.0
510,White,GA,13006,4.0
511,Whitfield,GA,72462,20.0
512,Wilcox,GA,7008,0.0
513,Wilkes,GA,10597,4.0
514,Wilkinson,GA,10228,1.0
515,Worth,GA,19745,1.0
516,Ada,ID,205775,0.0
517,Adams,ID,3254,0.0
518,Bannock,ID,66026,0.0
519,Bear lake,ID,6084,0.0
520,Benewah,ID,7937,0.0
521,Bingham,ID,37583,0.0
522,Blaine,ID,13552,0.0
523,Boise,ID,3509,0.0
524,Bonner,ID,26622,0.0
525,Bonneville,ID,72207,0.0
526,Boundary,ID,8332,0.0
527,Butte,ID,2918,0.0
528,Camas,ID,727,0.0
529,Canyon,ID,90076,0.0
530,Caribou,ID,6963,0.0
531,Cassia,ID,19532,0.0
532,Clark,ID,762,0.0
533,Clearwater,ID,8505,0.0
534,Custer,ID,4133,0.0
535,Elmore,ID,21205,0.0
536,Franklin,ID,9232,0.0
537,Fremont,ID,10937,0.0
538,Gem,ID,11844,0.0
539,Gooding,ID,11633,0.0
540,Idaho,ID,13783,0.0
541,Jefferson,ID,16543,0.0
542,Jerome,ID,15138,0.0
543,Kootenai,ID,69795,0.0
544,Latah,ID,30617,0.0
545,Lemhi,ID,6899,0.0
546,Lewis,ID,3516,0.0
547,Lincoln,ID,3308,0.0
548,Madison,ID,23674,0.0
549,Minidoka,ID,19361,0.0
550,Nez perce,ID,33754,0.0
551,Oneida,ID,3492,0.0
552,Owyhee,ID,8392,0.0
553,Payette,ID,16434,0.0
554,Power,ID,7086,0.0
555,Shoshone,ID,13931,0.0
556,Teton,ID,3439,0.0
557,Twin falls,ID,53580,0.0
558,Valley,ID,6109,0.0
559,Washington,ID,8550,0.0
560,Adams,IL,66090,14.0
561,Alexander,IL,10626,2.0
562,Bond,IL,14991,6.0
563,Boone,IL,30806,8.0
564,Brown,IL,5836,1.0
565,Bureau,IL,35688,19.0
566,Calhoun,IL,5322,2.0
567,Carroll,IL,16805,12.0
568,Cass,IL,13437,1.0
569,Champaign,IL,173025,31.0
570,Christian,IL,34418,12.0
571,Clark,IL,15921,5.0
572,Clay,IL,14460,13.0
573,Clinton,IL,33944,7.0
574,Coles,IL,51644,12.0
575,Cook,IL,5105067,1052.0
576,Crawford,IL,19464,7.0
577,Cumberland,IL,10670,2.0
578,De witt,IL,16516,0.0
579,Dekalb,IL,77932,0.0
580,Douglas,IL,19464,3.0
581,Dupage,IL,781666,0.0
582,Edgar,IL,19595,4.0
583,Edwards,IL,7440,0.0
584,Effingham,IL,31704,6.0
585,Fayette,IL,20893,9.0
586,Ford,IL,14275,6.0
587,Franklin,IL,40319,17.0
588,Fulton,IL,38080,9.0
589,Gallatin,IL,6909,1.0
590,Greene,IL,15317,3.0
591,Grundy,IL,32337,7.0
592,Hamilton,IL,8499,6.0
593,Hancock,IL,21373,9.0
594,Hardin,IL,5189,2.0
595,Henderson,IL,8096,0.0
596,Henry,IL,51159,18.0
597,Iroquois,IL,30787,7.0
598,Jackson,IL,61067,15.0
599,Jasper,IL,10609,2.0
600,Jefferson,IL,37020,9.0
601,Jersey,IL,20539,5.0
602,Jo daviess,IL,21821,0.0
603,Johnson,IL,11347,3.0
604,Kane,IL,317471,48.0
605,Kankakee,IL,96255,10.0
606,Kendall,IL,39413,7.0
607,Knox,IL,56393,13.0
608,La salle,IL,106913,0.0
609,Lake,IL,516418,81.0
610,Lawrence,IL,15972,8.0
611,Lee,IL,34392,4.0
612,Livingston,IL,39301,12.0
613,Logan,IL,30798,4.0
614,Macon,IL,117206,36.0
615,Macoupin,IL,47679,20.0
616,Madison,IL,249238,63.0
617,Marion,IL,41561,11.0
618,Marshall,IL,12846,5.0
619,Mason,IL,16269,6.0
620,Massac,IL,14752,1.0
621,Mcdonough,IL,35244,0.0
622,Mchenry,IL,183241,0.0
623,Mclean,IL,129180,0.0
624,Menard,IL,11164,3.0
625,Mercer,IL,17290,2.0
626,Monroe,IL,22422,4.0
627,Montgomery,IL,30728,17.0
628,Morgan,IL,36397,6.0
629,Moultrie,IL,13930,3.0
630,Ogle,IL,45957,13.0
631,Peoria,IL,182827,39.0
632,Perry,IL,21412,7.0
633,Piatt,IL,15548,2.0
634,Pike,IL,17577,4.0
635,Pope,IL,4373,2.0
636,Pulaski,IL,7523,1.0
637,Putnam,IL,5730,2.0
638,Randolph,IL,34583,14.0
639,Richland,IL,16545,4.0
640,Rock island,IL,148723,0.0
641,Saline,IL,26551,6.0
642,Sangamon,IL,178386,39.0
643,Schuyler,IL,7498,2.0
644,Scott,IL,5644,3.0
645,Shelby,IL,22261,4.0
646,St. clair,IL,262852,0.0
647,Stark,IL,6534,1.0
648,Stephenson,IL,48052,17.0
649,Tazewell,IL,123692,32.0
650,Union,IL,17619,10.0
651,Vermilion,IL,88257,31.0
652,Wabash,IL,13111,0.0
653,Warren,IL,19181,6.0
654,Washington,IL,14965,6.0
655,Wayne,IL,17241,2.0
656,White,IL,16522,3.0
657,Whiteside,IL,60186,10.0
658,Will,IL,357313,61.0
659,Williamson,IL,57733,15.0
660,Winnebago,IL,252913,60.0
661,Woodford,IL,32653,5.0
662,Adams,IN,31095,8.0
663,Allen,IN,300836,49.0
664,Bartholomew,IN,63657,17.0
665,Benton,IN,9441,3.0
666,Blackford,IN,14067,2.0
667,Boone,IN,38147,9.0
668,Brown,IN,14080,4.0
669,Carroll,IN,18809,9.0
670,Cass,IN,38413,13.0
671,Clark,IN,87777,20.0
672,Clay,IN,24705,8.0
673,Clinton,IN,30974,4.0
674,Crawford,IN,9914,6.0
675,Daviess,IN,27533,8.0
676,De kalb,IN,35324,0.0
677,Dearborn,IN,38835,8.0
678,Decatur,IN,23645,8.0
679,Delaware,IN,119659,29.0
680,Dubois,IN,36616,16.0
681,Elkhart,IN,156198,32.0
682,Fayette,IN,26015,3.0
683,Floyd,IN,64404,16.0
684,Fountain,IN,17808,5.0
685,Franklin,IN,19580,2.0
686,Fulton,IN,18840,4.0
687,Gibson,IN,31913,5.0
688,Grant,IN,74169,25.0
689,Greene,IN,30410,5.0
690,Hamilton,IN,108936,15.0
691,Hancock,IN,45527,9.0
692,Harrison,IN,29890,6.0
693,Hendricks,IN,75717,13.0
694,Henry,IN,48139,18.0
695,Howard,IN,80827,14.0
696,Huntington,IN,35427,10.0
697,Jackson,IN,37730,14.0
698,Jasper,IN,24960,9.0
699,Jay,IN,21512,6.0
700,Jefferson,IN,29797,8.0
701,Jennings,IN,23661,4.0
702,Johnson,IN,88109,17.0
703,Knox,IN,39884,12.0
704,Kosciusko,IN,65294,14.0
705,La porte,IN,107066,0.0
706,Lagrange,IN,29477,8.0
707,Lake,IN,475594,87.0
708,Lawrence,IN,42836,10.0
709,Madison,IN,130669,37.0
710,Marion,IN,797159,154.0
711,Marshall,IN,42182,5.0
712,Martin,IN,10369,5.0
713,Miami,IN,36897,5.0
714,Monroe,IN,108978,12.0
715,Montgomery,IN,34436,6.0
716,Morgan,IN,55920,15.0
717,Newton,IN,13551,7.0
718,Noble,IN,37877,7.0
719,Ohio,IN,5315,0.0
720,Orange,IN,18409,7.0
